DATEPRD,WELL_BORE_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DP_TUBING,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND
2008-02-12,Well-C1,0.0,0.0,0.0,0.0,0.0,0.05885,0.0,0.0,0.0,,production
2008-02-13,Well-C1,0.0,0.0,0.0,0.0,0.0,0.06768,0.0,0.0,0.0,,production
2008-02-14,Well-C1,0.0,0.0,0.0,0.0,0.0,0.0495,0.0,0.0,0.0,,production
2008-02-15,Well-C1,0.0,0.0,0.0,0.0,0.0,0.0664,0.0,0.0,0.0,,production
2008-02-16,Well-C1,0.0,0.0,0.0,0.0,0.0,0.10479,0.0,0.0,0.0,,production
2008-02-17,Well-C1,0.0,0.0,0.0,0.0,0.0,0.13571,0.0,0.0,0.0,,production
2008-02-18,Well-C1,0.0,0.0,0.0,0.0,0.0,0.23359,0.0,0.0,0.0,,production
2008-02-19,Well-C1,0.0,0.0,0.0,0.0,0.0,0.56651,0.0,0.0,0.0,,production
2008-02-20,Well-C1,0.0,0.0,0.0,0.0,2e-05,0.6135,0.0,0.0,0.0,,production
2008-02-21,Well-C1,0.0,0.0,0.0,0.0,0.0,0.73982,0.0,0.0,0.0,,production
2008-02-22,Well-C1,0.0,0.0,0.0,0.0,0.00015,0.99382,0.0,0.0,0.0,,production
2008-02-23,Well-C1,0.0,0.0,0.0,0.0,0.0,1.39511,0.0,0.0,0.0,,production
2008-02-24,Well-C1,0.0,0.0,0.0,0.0,0.0,1.90704,0.0,0.0,0.0,,production
2008-02-25,Well-C1,0.0,0.0,0.0,0.0,0.0,2.88356,0.0,0.0,0.0,,production
2008-02-26,Well-C1,0.0,0.0,0.0,0.0,0.0,3.80516,0.0,0.0,0.0,,production
2008-02-27,Well-C1,0.0,0.0,0.0,0.0,0.0,4.60605,0.0,0.0,0.0,,production
